label,tag,contract
smartbugs_results,529: time_manipulation; 563: time_manipulation;,0xd4616cbb5c26d39c858b9a963efa66d83747b244
smartbugs_results,122: arithmetic; 132: arithmetic; 134: arithmetic; 137: arithmetic; 139: arithmetic;,0x4fd997ed7c10dbd04e95d3730cd77d79513076f2
smartbugs_results,202: time_manipulation;,0x0532dd9ecb00c424c72335df4f60c11c03229ec0
smartbugs_results,41: arithmetic; 42: arithmetic;,0xdd26a77e7901221d5c407bc329ed5c20cfaee766
smartbugs_results,26: unchecked_low_calls; 26: reentrancy;,0x641074844a0dd00042347161f830346bdfe348bc
smartbugs_results,729: reentrancy; 586: unchecked_low_calls;,0x8ebe51a2363fa375d6f5163ec7bbac4a86264aa8
smartbugs_results,320: access_control;,0xeb897ad24189a911cad00c071fc7182f5753a3d3
smartbugs_results,47: arithmetic; 214: time_manipulation;,0xb2069ca2122e652c0f6ed4d408c915bc103e24b8
smartbugs_results,180: arithmetic; 258: time_manipulation;,0xa577db7575a197ea811a31bb7600fc47d3a44df7
smartbugs_results,435: arithmetic;,0xed5a90efa30637606ddaf4f4b3d42bb49d79bd4e
smartbugs_results,30: arithmetic; 31: arithmetic; 38: arithmetic; 39: arithmetic;,0x7a3aa244cb5520cd40876c604953c269044f6599
smartbugs_results,37: arithmetic; 38: arithmetic; 65: arithmetic; 66: arithmetic; 74: arithmetic; 75: arithmetic; 83: arithmetic; 84: arithmetic;,0xea5478ed353bed393e07557d19e6c32723b4374e
smartbugs_results,52: arithmetic; 62: arithmetic;,0xaa338c62af453c9a83ecb8436a06b887174664a8
smartbugs_results,209: arithmetic; 210: arithmetic;,0xadf9cde5c929aca0d94a3c90ee31b2a10ba2d35e
smartbugs_results,52: arithmetic; 62: arithmetic;,0x947b9130d7ac72f221f9dc223297a4ca747bc80f
smartbugs_results,40: arithmetic; 50: arithmetic;,0xdbb5417b8b0a01e039a12e43d3650f46635cda97
smartbugs_results,429: reentrancy;,0x71a42fd60323204912468cd32a8283ed5d45a28f
smartbugs_results,127: arithmetic;,0x7db5e506a6d24a1557682467104e30758aa93b96
smartbugs_results,310: reentrancy;,0xefc6d9d05d41134b1f44b379e319079ef2855edb
smartbugs_results,184: time_manipulation;,0x36490a555a0019ea8457401584de111213ebd31a
smartbugs_results,7: access_control;,0x484897c3292ba2a600919e9cbde64bcf586fe29c
smartbugs_results,38: time_manipulation;,0x2634baad203cba4aa4114c132b2e50a3a6027ff9
smartbugs_results,62: arithmetic; 52: arithmetic;,0x86e0ab48726837b7f7cf2b22f494e865c651adcb
smartbugs_results,97: time_manipulation;,0xc079b330f82c597ac8e871a707e7bda95c883a37
